player,year,team,round
"Petrenko, Jared",2012,adelaide,R4
"Petrenko, Jared",2012,adelaide,R5
"Petrenko, Jared",2012,adelaide,R6
"Petrenko, Jared",2012,adelaide,R7
"Petrenko, Jared",2012,adelaide,R8
"Petrenko, Jared",2012,adelaide,R9
"Petrenko, Jared",2012,adelaide,R10
"Petrenko, Jared",2012,adelaide,R12
"Petrenko, Jared",2012,adelaide,R13
"Petrenko, Jared",2012,adelaide,R14
"Petrenko, Jared",2012,adelaide,R17
"Petrenko, Jared",2012,adelaide,R18
"Petrenko, Jared",2012,adelaide,R19
"Petrenko, Jared",2012,adelaide,R20
"Petrenko, Jared",2012,adelaide,R21
"Petrenko, Jared",2012,adelaide,R22
"Petrenko, Jared",2012,adelaide,R23
"Petrenko, Jared",2012,adelaide,QF
"Petrenko, Jared",2012,adelaide,SF
"Petrenko, Jared",2012,adelaide,PF
"Porplyzia, Jason",2012,adelaide,R1
"Porplyzia, Jason",2012,adelaide,R2
"Porplyzia, Jason",2012,adelaide,R3
"Porplyzia, Jason",2012,adelaide,R4
"Porplyzia, Jason",2012,adelaide,R6
"Porplyzia, Jason",2012,adelaide,R7
"Porplyzia, Jason",2012,adelaide,R8
"Porplyzia, Jason",2012,adelaide,R9
"Porplyzia, Jason",2012,adelaide,R10
"Porplyzia, Jason",2012,adelaide,R12
"Porplyzia, Jason",2012,adelaide,R13
"Porplyzia, Jason",2012,adelaide,R14
"Porplyzia, Jason",2012,adelaide,R15
"Porplyzia, Jason",2012,adelaide,R16
"Porplyzia, Jason",2012,adelaide,R17
"Porplyzia, Jason",2012,adelaide,R18
"Porplyzia, Jason",2012,adelaide,R19
"Porplyzia, Jason",2012,adelaide,R22
"Porplyzia, Jason",2012,adelaide,R23
"Porplyzia, Jason",2012,adelaide,QF
"Porplyzia, Jason",2012,adelaide,SF
"Porplyzia, Jason",2012,adelaide,PF
"Reilly, Brent",2012,adelaide,R1
"Reilly, Brent",2012,adelaide,R2
"Reilly, Brent",2012,adelaide,R3
"Reilly, Brent",2012,adelaide,R4
"Reilly, Brent",2012,adelaide,R5
"Reilly, Brent",2012,adelaide,R6
"Reilly, Brent",2012,adelaide,R7
"Reilly, Brent",2012,adelaide,R8
"Reilly, Brent",2012,adelaide,R9
"Reilly, Brent",2012,adelaide,R10
"Reilly, Brent",2012,adelaide,R12
"Reilly, Brent",2012,adelaide,R13
"Reilly, Brent",2012,adelaide,R14
"Reilly, Brent",2012,adelaide,R15
"Reilly, Brent",2012,adelaide,R16
"Reilly, Brent",2012,adelaide,R17
"Reilly, Brent",2012,adelaide,R18
"Reilly, Brent",2012,adelaide,R19
"Reilly, Brent",2012,adelaide,R20
"Reilly, Brent",2012,adelaide,R21
"Reilly, Brent",2012,adelaide,R22
"Reilly, Brent",2012,adelaide,R23
"Reilly, Brent",2012,adelaide,QF
"Reilly, Brent",2012,adelaide,SF
"Reilly, Brent",2012,adelaide,PF
"Riley, Aidan",2012,adelaide,R19
"Riley, Aidan",2012,adelaide,R20
"Riley, Aidan",2012,adelaide,R22
"Riley, Aidan",2012,adelaide,R23
"Riley, Aidan",2012,adelaide,QF
"Rutten, Ben",2012,adelaide,R1
"Rutten, Ben",2012,adelaide,R2
"Rutten, Ben",2012,adelaide,R3
"Rutten, Ben",2012,adelaide,R4
"Rutten, Ben",2012,adelaide,R5
"Rutten, Ben",2012,adelaide,R6
"Rutten, Ben",2012,adelaide,R7
"Rutten, Ben",2012,adelaide,R8
"Rutten, Ben",2012,adelaide,R9
"Rutten, Ben",2012,adelaide,R10
"Rutten, Ben",2012,adelaide,R12
"Rutten, Ben",2012,adelaide,R13
"Rutten, Ben",2012,adelaide,R14
"Rutten, Ben",2012,adelaide,R15
"Rutten, Ben",2012,adelaide,R16
"Rutten, Ben",2012,adelaide,R17
"Rutten, Ben",2012,adelaide,R18
"Rutten, Ben",2012,adelaide,R19
"Rutten, Ben",2012,adelaide,R20
"Rutten, Ben",2012,adelaide,R21
"Rutten, Ben",2012,adelaide,R22
"Rutten, Ben",2012,adelaide,R23
"Rutten, Ben",2012,adelaide,QF
"Rutten, Ben",2012,adelaide,SF
"Rutten, Ben",2012,adelaide,PF
"Shaw, Sam",2012,adelaide,R4
"Shaw, Sam",2012,adelaide,R10
"Shaw, Sam",2012,adelaide,R12
"Shaw, Sam",2012,adelaide,R13
"Shaw, Sam",2012,adelaide,R14
"Shaw, Sam",2012,adelaide,R15
"Shaw, Sam",2012,adelaide,R16
"Shaw, Sam",2012,adelaide,R19
"Shaw, Sam",2012,adelaide,R20
"Shaw, Sam",2012,adelaide,R21
"Shaw, Sam",2012,adelaide,R22
"Shaw, Sam",2012,adelaide,R23
"Shaw, Sam",2012,adelaide,QF
"Shaw, Sam",2012,adelaide,SF
