DI_Avg,KI_Avg,MK_Avg,HB_Avg,GL_Avg,BH_Avg,HO_Avg,TK_Avg,RB_Avg,I5_Avg,CL_Avg,target
  -2.70341,   0.73526,   4.76980,  -3.43867,  -4.10947,  -2.89300,  30.62754, -11.01995,   3.69138,  -1.48817,  -3.77778,   1.00000
  34.41306,   1.35314, -10.46743,  33.05992,  -4.71850,   0.25961,  -6.97153,  -8.22264,   3.12995,  -5.76112,   9.58759,   0.00000
   2.80572, -10.52337,  -5.42648,  13.32909,  -3.50366,  -1.86195,   4.88596,  -5.30382,  -2.72559,  -1.51471,  -0.97060,   1.00000
 -17.64075, -26.64907,  -8.22976,   9.00831,  -3.48340,  -2.66473, -11.43911,  -4.49474,  -4.64115, -10.69368,  -4.44910,   0.00000
  -0.36325,  15.52124,  19.29201, -15.88449,   1.37471,   2.26959,  -8.55888,  -4.10623,  -4.60768,   2.74660,  -1.07870,   1.00000
  -8.62263,   1.48171,   1.57912, -10.10434,   1.24475,  -0.24887,   7.73917,  -7.23501,  -1.67505,   0.04127,   5.52269,   0.00000
   9.22507,  -7.18729,  -2.72224,  16.41237,  -5.56285,  -5.40320, -17.19984,  -1.00470,  10.58123, -19.75580,  -1.38345,   0.00000
   3.64031, -13.26633,  -7.74055,  16.90665,  -0.25211,  -0.13939,   7.11553,  -2.18485,  -5.45763,  -0.61066,   7.69918,   1.00000
  27.80699,  13.06044,  -0.14963,  14.74655,   1.14395,  -0.21819,  31.43385,   8.33857,  -6.70825,   9.14174,   7.83743,   1.00000
  31.05274,  22.81780,   8.58157,   8.23494,   1.24784,   1.19151, -19.75752, -12.40710,   4.59520,   8.20362,   2.08961,   1.00000
 -31.99821,  -1.13799,   3.70480, -30.86022,   2.60786,  -0.73656, -26.79500,   3.85884,   1.48291,  -3.92378,  -4.75575,   0.00000
 -24.61934,  -3.43271,   6.60405, -21.18663,   3.04784,   1.24416,  11.54322,   4.49845, -10.84290,   9.32748,  -3.92185,   1.00000
  22.03751,  30.97315,  10.04291,  -8.93564,   3.76425,   5.84635,   1.72008,   7.32736,  -2.96928,  14.14410,  -0.39031,   1.00000
  -9.28396, -27.69761,  -2.99439,  18.41365,  -3.66087,  -3.01853,   1.65671,  10.38597,  -7.39648,  -4.59821,  -3.84071,   0.00000
  -5.93180, -16.72027,  -2.84676,  10.78847,  -0.56133,  -1.71335,  -2.34945,  -6.91345,   3.73347,  -6.88522,   1.57045,   1.00000
  11.55927,  12.72455,   2.25245,  -1.16528,   2.62563,   2.45631,   7.93434,   1.14102,  -3.66045,  12.40501,   2.17580,   0.00000
  -2.64401,   1.54848,  -4.20047,  -4.19250,  -0.00273,  -0.60015, -22.10765,   2.75801,   9.31434,  -5.10752,  -1.98739,   1.00000
 -22.33791, -12.32727, -14.65023, -10.01064,   4.94826,   0.32357,   8.07226,  11.20604,  -2.08125,   1.92142,  -1.88772,   1.00000
  16.48725,  19.16078,   0.10022,  -2.67353,   2.63496,   2.17594,  10.01478,   7.59514,  -3.24022,  12.47879,   5.66597,   1.00000
 -31.03191, -10.17235, -10.07505, -20.85956,  -0.05298,   1.09592,  27.48882,  -7.76362,  -2.75552,  -5.02189,  -2.66541,   0.00000
  29.27668,  12.90828,  -0.59938,  16.36840,   0.75575,   3.67078, -22.38611,  -7.75475,   1.31201,   6.29122,  -0.65053,   0.00000
 -23.32219, -30.22483,  -9.32930,   6.90264,  -6.75552,  -2.65478,   2.59673, -15.70937,  -1.37186, -13.27448,  -6.58757,   0.00000
  -0.17056,  17.44728,  21.04298, -17.61784,  -0.02061,   3.92162,   1.62691,  -7.90066,  -3.40888,   6.94474,   1.84318,   0.00000
 -40.47636, -34.82704,  -8.58962,  -5.64933,  -7.05961,  -7.58036,  15.24015, -10.64442,   6.16484, -19.51912,  -3.87725,   0.00000
 -22.65349, -12.87923,  -4.67076,  -9.77426,  -2.45707,  -1.36777,   6.49475,   1.50782,   7.44033,  -6.08549,  -0.12502,   0.00000
 -10.95314, -13.87431,   4.70680,   2.92117,   2.97340,   0.19543,  -2.88271,  -9.12260,  -4.47006,  -0.06468,  -1.40150,   1.00000
 -22.06550,  -5.22527,  -7.41893, -16.84023,   0.79749,   1.15705,   5.70134, -10.53135,  -2.21577,  -1.01802,   0.71890,   1.00000
 -28.45639, -18.01012,  -9.71747, -10.44628,  -7.47345,  -5.75574,  -8.28006,  -0.82360,  13.64693, -18.85990,  -1.12546,   0.00000
 -30.92571, -23.76856,  -4.93909,  -7.15715,  -6.84255,  -1.66107,   0.69605,  -5.31072,   0.06055, -14.11895,  -5.38354,   0.00000
  16.88481,  13.32425,  -1.54894,   3.56056,   4.62285,   6.35728,   2.57702,   6.51858,  -9.23900,  13.21493,   3.11677,   1.00000
  30.69590,  14.57121,   1.38399,  16.12469,  -0.57906,   1.09244,  -6.88983,   4.05711,  -1.45294,   6.50898,   6.68508,   1.00000
  -1.15064, -15.96516, -19.39160,  14.81452,   0.99542,  -0.67843,   3.60982,  -2.14809,   4.19191,  -5.71507,   1.45076,   1.00000
   5.37671,  -5.23721,  -1.24558,  10.61391,  -1.70475,   0.55108,  -6.71877,  -0.43815,  -8.99883,   1.86402,   3.56897,   0.00000
  11.54734,  15.53600,   1.34746,  -3.98866,  -2.13056,   0.04505, -15.12444,   5.61259,  10.24775,  -3.96690,  -4.16859,   1.00000
 -13.17826, -17.46985,  -5.08859,   4.29159,  -3.27382,  -5.04723,  -2.34469,  14.20380,  -6.70008, -11.02385,   0.99770,   0.00000
  -9.26854,   1.44823,   1.84505, -10.71677,   2.64772,   2.28390,   3.33923,   6.95780,  -2.63062,   5.61688,  -1.52165,   1.00000
  26.20211,  -7.87659,   1.87941,  34.07870,   0.11844,  -2.11369, -18.93481,   2.48505,   0.24559,   3.92180,  -3.85265,   1.00000
 -28.54943, -17.50083,  -9.97199, -11.04860,  -6.66067,  -5.21014,  37.64761,  -1.05004,   0.85265,  -9.58794,  -0.57804,   0.00000
  11.45356,   5.36698,  -1.68237,   6.08658,   2.22398,   2.83817,   2.86918,  -8.84329,   4.10459,   5.83620,   0.04944,   1.00000
  -4.67830,  15.54830,  -2.50018, -20.22660,   0.29191,  -1.03800,   3.84237,  -2.07539,   9.73093,  -1.97922,   9.08365,   1.00000
